Comunidades y Ciudades Autónomas;General, vivienda nueva y de segunda mano;Periodo;Total
17 Rioja, La;Vivienda nueva;2014;26,747
17 Rioja, La;Vivienda nueva;2013;44,205
17 Rioja, La;Vivienda nueva;2012;56,793
17 Rioja, La;Vivienda nueva;2011;64,056
17 Rioja, La;Vivienda nueva;2010;70,175
17 Rioja, La;Vivienda nueva;2009;69,245
17 Rioja, La;Vivienda nueva;2008;61,39
17 Rioja, La;Vivienda segunda mano;2024;81,645
17 Rioja, La;Vivienda segunda mano;2023;85,933
17 Rioja, La;Vivienda segunda mano;2022;89,634
17 Rioja, La;Vivienda segunda mano;2021;91,537
17 Rioja, La;Vivienda segunda mano;2020;90,681
17 Rioja, La;Vivienda segunda mano;2019;91,698
17 Rioja, La;Vivienda segunda mano;2018;91,445
17 Rioja, La;Vivienda segunda mano;2017;89,086
17 Rioja, La;Vivienda segunda mano;2016;83,117
17 Rioja, La;Vivienda segunda mano;2015;79,583
17 Rioja, La;Vivienda segunda mano;2014;73,253
17 Rioja, La;Vivienda segunda mano;2013;55,795
17 Rioja, La;Vivienda segunda mano;2012;43,207
17 Rioja, La;Vivienda segunda mano;2011;35,944
17 Rioja, La;Vivienda segunda mano;2010;29,825
17 Rioja, La;Vivienda segunda mano;2009;30,755
17 Rioja, La;Vivienda segunda mano;2008;38,61
18 Ceuta;General;2024;""
18 Ceuta;General;2023;""
18 Ceuta;General;2022;""
18 Ceuta;General;2021;""
18 Ceuta;General;2020;""
18 Ceuta;General;2019;""
18 Ceuta;General;2018;""
18 Ceuta;General;2017;""
18 Ceuta;General;2016;""
18 Ceuta;General;2015;""
18 Ceuta;General;2014;""
18 Ceuta;General;2013;""
18 Ceuta;General;2012;""
18 Ceuta;General;2011;""
18 Ceuta;General;2010;""
18 Ceuta;General;2009;""
18 Ceuta;General;2008;""
18 Ceuta;Vivienda nueva;2024;""
18 Ceuta;Vivienda nueva;2023;""
18 Ceuta;Vivienda nueva;2022;""
18 Ceuta;Vivienda nueva;2021;""
18 Ceuta;Vivienda nueva;2020;""
18 Ceuta;Vivienda nueva;2019;""
18 Ceuta;Vivienda nueva;2018;""
18 Ceuta;Vivienda nueva;2017;""
18 Ceuta;Vivienda nueva;2016;""
18 Ceuta;Vivienda nueva;2015;""
18 Ceuta;Vivienda nueva;2014;""
18 Ceuta;Vivienda nueva;2013;""
18 Ceuta;Vivienda nueva;2012;""
18 Ceuta;Vivienda nueva;2011;""
18 Ceuta;Vivienda nueva;2010;""
18 Ceuta;Vivienda nueva;2009;""
18 Ceuta;Vivienda nueva;2008;""
18 Ceuta;Vivienda segunda mano;2024;""
18 Ceuta;Vivienda segunda mano;2023;""
18 Ceuta;Vivienda segunda mano;2022;""
18 Ceuta;Vivienda segunda mano;2021;""
18 Ceuta;Vivienda segunda mano;2020;""
18 Ceuta;Vivienda segunda mano;2019;""
18 Ceuta;Vivienda segunda mano;2018;""
18 Ceuta;Vivienda segunda mano;2017;""
18 Ceuta;Vivienda segunda mano;2016;""
18 Ceuta;Vivienda segunda mano;2015;""
18 Ceuta;Vivienda segunda mano;2014;""
18 Ceuta;Vivienda segunda mano;2013;""
18 Ceuta;Vivienda segunda mano;2012;""
18 Ceuta;Vivienda segunda mano;2011;""
18 Ceuta;Vivienda segunda mano;2010;""
18 Ceuta;Vivienda segunda mano;2009;""
18 Ceuta;Vivienda segunda mano;2008;""
19 Melilla;General;2024;""
19 Melilla;General;2023;""
19 Melilla;General;2022;""
19 Melilla;General;2021;""
19 Melilla;General;2020;""
19 Melilla;General;2019;""
19 Melilla;General;2018;""
19 Melilla;General;2017;""
19 Melilla;General;2016;""
19 Melilla;General;2015;""
19 Melilla;General;2014;""
19 Melilla;General;2013;""
19 Melilla;General;2012;""
19 Melilla;General;2011;""
19 Melilla;General;2010;""
19 Melilla;General;2009;""
19 Melilla;General;2008;""
19 Melilla;Vivienda nueva;2024;""
19 Melilla;Vivienda nueva;2023;""
19 Melilla;Vivienda nueva;2022;""
19 Melilla;Vivienda nueva;2021;""
19 Melilla;Vivienda nueva;2020;""
19 Melilla;Vivienda nueva;2019;""
19 Melilla;Vivienda nueva;2018;""
19 Melilla;Vivienda nueva;2017;""
19 Melilla;Vivienda nueva;2016;""
19 Melilla;Vivienda nueva;2015;""
19 Melilla;Vivienda nueva;2014;""
19 Melilla;Vivienda nueva;2013;""
19 Melilla;Vivienda nueva;2012;""
19 Melilla;Vivienda nueva;2011;""
19 Melilla;Vivienda nueva;2010;""
19 Melilla;Vivienda nueva;2009;""
19 Melilla;Vivienda nueva;2008;""
19 Melilla;Vivienda segunda mano;2024;""
19 Melilla;Vivienda segunda mano;2023;""
19 Melilla;Vivienda segunda mano;2022;""
19 Melilla;Vivienda segunda mano;2021;""
19 Melilla;Vivienda segunda mano;2020;""
19 Melilla;Vivienda segunda mano;2019;""
19 Melilla;Vivienda segunda mano;2018;""
19 Melilla;Vivienda segunda mano;2017;""
19 Melilla;Vivienda segunda mano;2016;""
19 Melilla;Vivienda segunda mano;2015;""
19 Melilla;Vivienda segunda mano;2014;""
19 Melilla;Vivienda segunda mano;2013;""
19 Melilla;Vivienda segunda mano;2012;""
19 Melilla;Vivienda segunda mano;2011;""
19 Melilla;Vivienda segunda mano;2010;""
19 Melilla;Vivienda segunda mano;2009;""
19 Melilla;Vivienda segunda mano;2008;""
